handle,field,default content (en),translated content (ar)
motarro-cheque-file,title,Motarro Cheque File — Style 1,ملف تصميم ١ من Motarro — Cheque File
motarro-cheque-file,body_html,"<p>Motarro Cheque File to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Motarro.</p>",<p>ملف تصميم ١ من Motarro لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
motarro-elastic-rubber-band,title,Motarro Elastic Rubber Band,أداة مكتبية من Motarro — Elastic Rubber Band
motarro-elastic-rubber-band,body_html,<p>Motarro Elastic Rubber Band — a practical helper for the desk.</p><p>One of those tools you reach for more often than you expect. From Motarro.</p>,<p>أداة مكتبية من Motarro — أداة عملية للمكتب.</p><p>من الأدوات التي ستستخدمها أكثر مما تتوقع.</p>
smart-gel-crayon-6pc-set,title,Y.Plus Smart Gel Crayons — 6 Piece Set,ألوان شمعية من Y.Plus — Smart Gel Crayons — 6 Piece Set
smart-gel-crayon-6pc-set,body_html,"<p>Y.Plus Smart Gel Crayons — 6 Piece Set — bold, easy-grip colour for little hands.</p><p>Ideal for toddlers and young artists at home or nursery. From Y.Plus.</p>",<p>ألوان شمعية من Y.Plus — ألوان جريئة بقبضة سهلة للأيدي الصغيرة.</p><p>مثالية للصغار في البيت أو الحضانة.</p>
elephant-18-col-pen,title,Y.Plus Elephant Colour Pens — 18 Colours,أقلام تلوين خشبية ١٨ لونًا من Y.Plus
elephant-18-col-pen,body_html,"<p>Y.Plus Elephant Colour Pens — 18 Colours for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Y.Plus.</p>",<p>أقلام تلوين خشبية ١٨ لونًا من Y.Plus لتلوين ناعم بألوان زاهية.</p><p>خيار ممتاز لحقيبة المدرسة وركن الرسم في البيت.</p>
smart-normal-color-color-pencil-24pcs-set,title,Y.Plus Smart Colour Pencils — 24 Pieces,أقلام تلوين خشبية ٢٤ قطعة من Y.Plus
smart-normal-color-color-pencil-24pcs-set,body_html,"<p>Y.Plus Smart Colour Pencils — 24 Pieces for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Y.Plus.</p>",<p>أقلام تلوين خشبية ٢٤ قطعة من Y.Plus لتلوين ناعم بألوان زاهية.</p><p>خيار ممتاز لحقيبة المدرسة وركن الرسم في البيت.</p>
