Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
motarro-cheque-file,Motarro Cheque File,"<p>Motarro Cheque File by Motarro. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Motarro,Files & Folders,"Files & Folders, Files, Motarro",TRUE,Title,Default Title,6926393377199,6926393377199,200,,deny,manual,8.0,TRUE,TRUE,active
motarro-elastic-rubber-band,Motarro Elastic Rubber Band,"<p>Motarro Elastic Rubber Band by Motarro. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Motarro,Desk & Tools,"Desk & Tools, Rubber Band, Motarro",TRUE,Title,Default Title,6973387081877,6973387081877,200,,deny,manual,6.0,TRUE,TRUE,active
smart-gel-crayon-6pc-set,Smart Gel Crayon 6PC Set,"<p>Smart Gel Crayon 6PC Set by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Art & Craft,"Art & Craft, Crayons, Y.Plus+",TRUE,Title,Default Title,6973157019642,6973157019642,200,,deny,manual,8.5,TRUE,TRUE,active
elephant-18-col-pen,Elephant 18 Col Pen,"<p>Elephant 18 Col Pen by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Washable Pen, Y.Plus+",TRUE,Title,Default Title,4711678077398,4711678077398,200,,deny,manual,12.0,TRUE,TRUE,active
smart-normal-color-color-pencil-24pcs-set,Smart Normal Color Color Pencil 24PCS Set,"<p>Smart Normal Color Color Pencil 24PCS Set by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Colour Pencil, Y.Plus+",TRUE,Title,Default Title,6973157019574,6973157019574,200,,deny,manual,12.0,TRUE,TRUE,active
eraser-pen,Eraser Pen,"<p>Eraser Pen by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Eraser, Y.Plus+",TRUE,Title,Default Title,6973157013534,6973157013534,200,,deny,manual,5.0,TRUE,TRUE,active
smart-hb-pencil-12pc-triangular,Smart Hb Pencil 12PC Triangular,"<p>Smart Hb Pencil 12PC Triangular by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Pencil, Y.Plus+",TRUE,Title,Default Title,6973157019628,6973157019628,200,,deny,manual,5.0,TRUE,TRUE,active
croc-pencil-sharpner,Croc Pencil Sharpner,"<p>Croc Pencil Sharpner by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Sharpner, Y.Plus+",TRUE,Title,Default Title,6973157014968,6973157014968,200,,deny,manual,4.0,TRUE,TRUE,active
croc-eraser,Croc Eraser,"<p>Croc Eraser by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Desk & Tools,"Desk & Tools, Eraser, Y.Plus+",TRUE,Title,Default Title,6973157014975,6973157014975,200,,deny,manual,2.5,TRUE,TRUE,active
small-eraser-line-jar,Small Eraser Line Jar,"<p>Small Eraser Line Jar by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Desk & Tools,"Desk & Tools, Eraser, Y.Plus+",TRUE,Title,Default Title,6973157011363,6973157011363,200,,deny,manual,2.5,TRUE,TRUE,active
star-col-pencil-12pc,Star Col Pencil 12PC,"<p>Star Col Pencil 12PC by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Colour Pencil, Y.Plus+",TRUE,Title,Default Title,6973157012896,6973157012896,200,,deny,manual,7.0,TRUE,TRUE,active
smart-hb-pencil,Smart Hb Pencil,"<p>Smart Hb Pencil by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Pencil, Y.Plus+",TRUE,Title,Default Title,6973157018829,6973157018829,200,,deny,manual,5.0,TRUE,TRUE,active
