Handle,Original Title,Proposed Title,Reason
moshi-moshi,Moshi Moshi,Moshi Moshi Sticker Sheet — Style 1,"""Moshi Moshi"" alone under Stickers — design unknown."
beautiful-life,Beautiful > Life,“Beautiful Life” Sticker Sheet,Sticker sheet with a slogan name only.
moshi-moshi-2,Moshi Moshi,Moshi Moshi Sticker Sheet — Style 2,"""Moshi Moshi"" duplicate — design unknown."
to-make-each-day-count,To Make Each Day Count,To Make Each Day Count — Style 1,Six identical sticker sheets — designs need distinguishing.
to-make-each-day-count-2,To Make Each Day Count,To Make Each Day Count — Style 2,See to-make-each-day-count.
to-make-each-day-count-3,To Make Each Day Count,To Make Each Day Count — Style 3,See to-make-each-day-count.
to-make-each-day-count-4,To Make Each Day Count,To Make Each Day Count — Style 4,See to-make-each-day-count.
to-make-each-day-count-5,To Make Each Day Count,To Make Each Day Count — Style 5,See to-make-each-day-count.
to-make-each-day-count-6,To Make Each Day Count,To Make Each Day Count — Style 6,See to-make-each-day-count.
pen-thai,Pen Thai,Character Ballpoint Pen — Style 1,"""Pen Thai"" — unclear which pen; wrote a safe generic title."
quantum-writing-with-technology,Quantum Writing with Technology,Quantum Ballpoint Pen,"Marketing phrase, not a product name — assumed ballpoint pen."
all-write,All Write,“All Write” Sticker Sheet,Sticker sheet with a slogan name only.
one-piece,One Piece,One Piece Character Pen,"""One Piece"" alone under Pens — assumed a character pen."
pen-thai-2,Pen Thai,Character Ballpoint Pen — Style 2,"""Pen Thai"" duplicate — same as above."
mini-mon,Mini Mon,Mini Monster Sticker Sheet,"""Mini Mon"" — assumed mini monster stickers; confirm."
moshi-moshi-gel-pen,Moshi Moshi Gel Pen,Moshi Moshi Gel Pen — Style 1,Eleven identical gel pens — colours/designs need distinguishing.
motarro-cheque-file-myd075,Motarro Cheque File MYD075,Motarro Cheque File — Style 2,Cheque file filed under Art & Craft — category looks wrong.
motarro-mini-wooden-me565-1,Motarro Mini Wooden ME565-1,Motarro Mini Wooden Craft Set,"""Mini Wooden"" — wooden what? Wrote a safe generic craft title."
motarro-scissor-mi019-19,Motarro Scissor MI019-19,Motarro Craft Scissors,Scissors filed under Stickers & Sticky Notes — category looks wrong.
science-experiment-suite-kx-2020,Science Experiment Suite KX-2020,Science Experiment Kit,Generic science kit name — contents unknown.
motarro-scientific-magnet-1917,Motarro Scientific Magnet 1917,Motarro Scientific Magnet Set,Magnet set — contents unknown beyond the name.
italo-jute-rope-hb-52,Italo Jute Rope HB-52,Italo Jute Rope,Jute rope filed under Notebooks & Books — category looks wrong.
motarro-sketch-pad-mp128-3,Motarro Sketch Pad MP128-3,Motarro Sketch Pad,Sketch pad filed under Stickers & Sticky Notes — category looks wrong.
de-guang-stationery,De Guang Stationery,De Guang Document Organiser,"Supplier name only (""De Guang Stationery"") under Files — what is it?"
kizuna-mppa-502,Kizuna MPPA-502,Elephant Kizuna Notebook (MPPA-502),Only the model code distinguishes it — size/ruling unknown.
kizuna-mppa-503,Kizuna MPPA-503,Elephant Kizuna Notebook (MPPA-503),Only the model code distinguishes it — size/ruling unknown.
elephant-mra-502,Elephant MRA-502,Elephant Notebook (MRA-502),Only the model code distinguishes it — size/ruling unknown.
sooofa,Sooofa,Kokuyo Sooofa Soft-Ring Notebook,Assumed Kokuyo Sooofa soft-ring notebook line — confirm.
notebook-wpp-121t,Notebook WPP-121T,Elephant Notebook (WPP-121T),Only the model code distinguishes it — size/ruling unknown.
begin-elephant,Begin Elephant,Elephant Begin Notebook,"""Begin Elephant"" appears as notebook AND gift sets — confirm what each is."
snoopy,Snoopy,Snoopy Notebook,Character + category only; confirm notebook type/size.
brunch-brother,Brunch Brother,Brunch Brother Notebook,Character + category only; confirm notebook type.
catmemo,Catmemo,Double A Catmemo Sticky Notes,Brand name only; assumed sticky notes from the Catmemo line.
eraser,Eraser,Campus Eraser,"Just ""Eraser"" at AED 30 (premium?) — brand/series needed."
elephant,Elephant,Galaxy Pastel Desk Accessory,"Name is just ""Elephant"" (vendor listed as Galaxy Pastel) — what is this product?"
kokuyo,Kokuyo,Campus Desk Accessory,"Name is just ""Kokuyo"" (vendor listed as Campus) — what is this product?"
begin-elephant-2,Begin Elephant,Elephant Begin Stationery Set — Style 2,Same name across categories — confirm contents.
sticky-note,Sticky Note,Sticky Notes Set,"""Sticky Note"" at AED 15 — set contents unknown."
big-ideas-start-small,Big Ideas Start Small,Double A “Big Ideas Start Small” Sticky Notes,Sticky notes with a slogan name — design unknown.
elephant-2,Elephant,Elephant Planner Pad,"Name is just ""Elephant"" under Planners at AED 5 — needs a real name."
begin-elephant-3,Begin Elephant,Elephant Begin Stationery Set — Style 2 (2),Same name across categories — confirm contents.
begin-elephant-4,Begin Elephant,Elephant Begin Stationery Set — Style 3,Same name across categories — confirm contents.
mideer-pease-crayons,Mideer Pease Crayons,Mideer Pease Crayons,"""Pease"" is likely a series name or typo — confirmed spelling needed."
chicro-large-leather-pencil-pink-and-per,Chicro Large Leather Pencil Pink and Per,Chica Ro Large Leather Pencil Case — Pink,"Source name truncated (""Pink and Per…"") — confirm second colour."
jiehui-cube-3nd,Jiehui Cube 3ND,Jiehui Magic Cube Puzzle,"""3ND"" suffix unclear — assumed a magic cube puzzle."
yq-rulur,Yq Rulur,YQ Ruler,"Brand ""YQ"" + misspelt ""ruler"" — size unknown."
preschool,Preschool,Hi5 Preschool Activity Book — Style 1,"Six ""Preschool"" books with no subject — need per-book titles."
preschool-2,Preschool,Hi5 Preschool Activity Book — Style 2,See preschool.
preschool-3,Preschool,Hi5 Preschool Activity Book — Style 3,See preschool.
preschool-4,Preschool,Hi5 Preschool Activity Book — Style 4,See preschool.
preschool-5,Preschool,Hi5 Preschool Activity Book — Style 5,See preschool.
preschool-6,Preschool,Hi5 Preschool Activity Book — Style 6,See preschool.
